player_id,player_name,position,TD_2018,TD_2019,TD_2020,TD_2021,TD_2022,TD_2023,TD_2024,avg_yds_after_catch_2018,avg_yds_after_catch_2019,avg_yds_after_catch_2020,avg_yds_after_catch_2021,avg_yds_after_catch_2022,avg_yds_after_catch_2023,avg_yds_after_catch_2024,avg_yds_per_carry_2018,avg_yds_per_carry_2019,avg_yds_per_carry_2020,avg_yds_per_carry_2021,avg_yds_per_carry_2022,avg_yds_per_carry_2023,avg_yds_per_carry_2024,completion_rate_2018,completion_rate_2019,completion_rate_2020,completion_rate_2021,completion_rate_2022,completion_rate_2023,completion_rate_2024,games_played_2018,games_played_2019,games_played_2020,games_played_2021,games_played_2022,games_played_2023,games_played_2024,receive_attempts_2018,receive_attempts_2019,receive_attempts_2020,receive_attempts_2021,receive_attempts_2022,receive_attempts_2023,receive_attempts_2024,rush_attempts_2018,rush_attempts_2019,rush_attempts_2020,rush_attempts_2021,rush_attempts_2022,rush_attempts_2023,rush_attempts_2024,team_2025,division,stadium_type,BYE,exp,pos_roster,avg_team_time_on_offense,strength_o_line,strength_of_schedule_calc,strength_of_qb,odd_run,odd_throw,games_played_total_career,avg_games_played_per_szn
00-0023459,A.Rodgers,QB,27.0,31.0,57.0,40.0,27.0,0.0,28.0,,,-2.0,0.0,,,,6.255813953488372,3.7884615384615374,3.4761904761904763,3.060606060606061,2.764705882352941,,4.863636363636363,0.6231155778894473,0.6299212598425197,0.7016393442622951,0.6892857142857143,0.6457564575645757,0.0,0.6301369863013698,16.0,18.0,18.0,17.0,17.0,1.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,43.0,52.0,42.0,33.0,34.0,0.0,22.0,NYJ,AFC East,outdoor,12.0,19.0,QB,59.64705882352941,62.289284,0.4854509399218924,,0.3382643,0.6617357,104,14.857142857142858
00-0023500,F.Gore,RB,1.0,2.0,2.0,,,,,9.583333333333334,6.769230769230769,4.5625,,,,,4.628205128205129,3.5689655172413794,3.4919786096256686,,,,,,,,,,,,14.0,16.0,15.0,,,,,16.0,17.0,19.0,,,,,156.0,174.0,187.0,,,,,NYJ,AFC East,outdoor,10.0,15.0,RB,58.75,47.95657,0.5813607241142071,0.5741963260619978,0.39148936,0.6085106,45,15.0
00-0023564,D.Sproles,RB,3.0,0.0,,,,,,8.75,4.166666666666667,,,,,,3.2222222222222223,3.882352941176471,,,,,,,,,,,,,8.0,6.0,,,,,,30.0,10.0,,,,,,45.0,17.0,,,,,,PHI,NFC East,outdoor,10.0,14.0,RB,68.17647058823529,60.594673,0.4568435217224144,0.6803995710818895,0.38222605,0.61777395,14,7.0
00-0023645,D.Anderson,QB,0.0,,,,,,,,,,,,,,-1.0,,,,,,,0.6,,,,,,,2.0,,,,,,,0.0,,,,,,,1.0,,,,,,,BUF,AFC East,outdoor,11.0,13.0,QB,62.5625,53.941257,0.5155121259029928,,0.4035964,0.5964036,2,2.0
00-0023662,M.Cassel,QB,0.0,,,,,,,,,,,,,,6.5,,,,,,,0.4117647058823529,,,,,,,2.0,,,,,,,0.0,,,,,,,2.0,,,,,,,DET,NFC North,indoor,6.0,13.0,QB,63.375,57.444054,0.4890579312865497,,0.37672585,0.62327415,2,2.0
00-0023682,R.Fitzpatrick,QB,19.0,24.0,15.0,0.0,,,,,,4.0,,,,,4.222222222222222,4.5,5.033333333333333,2.0,,,,0.6666666666666666,0.6195219123505976,0.6853932584269663,0.5,,,,8.0,15.0,9.0,1.0,,,,0.0,0.0,1.0,0.0,,,,36.0,54.0,30.0,1.0,,,,WAS,NFC East,outdoor,9.0,16.0,QB,62.70588235294117,54.82557,0.5140209231267326,,0.40337712,0.5966229,33,8.25
00-0024221,V.Davis,TE,2.0,1.0,,,,,,6.72,8.0,,,,,,,,,,,,,,,,,,,,13.0,4.0,,,,,,36.0,19.0,,,,,,0.0,0.0,,,,,,WAS,NFC East,outdoor,10.0,13.0,TE,55.1875,33.159893,0.4863314843481252,0.6335489475235391,0.37938845,0.62061155,17,8.5
00-0024243,M.Lewis,TE,0.0,1.0,3.0,0.0,2.0,1.0,0.0,10.333333333333334,5.764705882352941,5.615384615384615,6.041666666666667,2.333333333333333,7.25,1.0,,,,,,,,,,,,,,,4.0,13.0,11.0,14.0,6.0,5.0,1.0,4.0,21.0,20.0,29.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,NFC North,outdoor,7.0,18.0,TE,62.294117647058826,26.427608,0.5368157995912503,0.8122775800711743,0.34844193,0.6515581,54,7.714285714285714
00-0024334,B.Marshall,WR,1.0,,,,,,,2.090909090909091,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,23.0,,,,,,,0.0,,,,,,,SEA,NFC West,outdoor,7.0,,,61.35294117647059,26.659733,0.4787644934134645,0.6563876651982379,0.4928092,0.5071908,6,6.0
00-0024389,De.Walker,TE,0.0,2.0,,,,,,5.0,3.142857142857143,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,7.0,31.0,,,,,,0.0,0.0,,,,,,TEN,AFC South,outdoor,11.0,13.0,TE,57.578947368421055,23.713654,0.529395922727355,0.640622195095681,0.45063984,0.54936016,7,3.5
