season,player_id,player_name,position,team_2025,rush_attempts,rushing_yards,rushing_tds,receive_attempts,receptions,receiving_yards,receiving_tds,receiving_yards_after_catch,passing_tds,completions,attempts,passing_yards,games_played,completion_rate,avg_yds_per_carry,avg_yds_after_catch,TD,player_name_roster,pos_roster,exp,jersey_number,status,games_played_total_career,seasons_in_data,avg_games_played_per_szn,run_plays,pass_plays,total_plays,odd_run,odd_throw,strength_o_line,avg_team_time_on_offense,strength_of_schedule_calc,BYE,division,stadium_type,strength_of_qb,headshot_url,espn_id,image_url
2019,00-0033296,A.Armah,RB,CAR,6,11.0,1,2,2,6.0,0,7.0,0,0,0,0.0,6,,1.8333333333333333,3.5,1,Alex Armah,RB,2.0,40.0,ACT,34,5,6.8,357.0,716.0,1073.0,0.33271202,0.667288,42.586494,67.0625,0.5361492733058135,7.0,NFC South,outdoor,0.5732970643703393,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/crmtpdadikaojxqou3vc",4212884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/crmtpdadikaojxqou3vc"
2020,00-0033296,A.Armah,RB,CAR,6,9.0,0,9,5,18.0,0,20.0,0,0,0,0.0,12,,1.5,4.0,0,Alex Armah,FB,3.0,40.0,ACT,34,5,6.8,358.0,624.0,982.0,0.36456212,0.6354379,64.057785,61.375,0.5279175266597868,13.0,NFC South,outdoor,0.6312427409988386,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fjfbrekts4cyentbb0rl",4212884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fjfbrekts4cyentbb0rl"
2021,00-0033296,A.Armah,RB,NO,5,21.0,0,1,1,1.0,1,1.0,0,0,0,0.0,5,,4.2,1.0,1,,,,,,34,5,6.8,459.0,581.0,1040.0,0.44134617,0.55865383,58.540142,61.1764705882353,0.4971569639207592,6.0,NFC South,indoor,0.5866549372866078,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7e4m3npoqhgw9kngd1e",4212884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m7e4m3npoqhgw9kngd1e"
2023,00-0033296,A.Armah,RB,WAS,0,0.0,0,3,3,13.0,0,27.0,0,0,0,0.0,3,,,9.0,0,Alex Armah,RB,6.0,40.0,ACT,34,5,6.8,323.0,737.0,1060.0,0.30471697,0.695283,35.964767,62.35294117647059,0.4979744632631174,14.0,NFC East,outdoor,0.7082978118783745,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pvbqmdwlukehpxovupsg",4212884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pvbqmdwlukehpxovupsg"
2018,00-0033421,A.Auclair,TE,TB,0,0.0,0,8,7,48.0,0,8.0,0,0,0,0.0,6,,,1.1428571428571428,0,Antony Auclair,TE,1.0,82.0,ACT,13,4,3.25,321.0,728.0,1049.0,0.30600572,0.6939943,65.32288,65.5625,0.5088337418300654,5.0,NFC South,outdoor,0.656084656084656,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h4csagscmpa4crwcqota",4081127,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h4csagscmpa4crwcqota"
2019,00-0033421,A.Auclair,TE,TB,0,0.0,0,3,1,11.0,0,8.0,0,0,0,0.0,2,,,8.0,0,Antony Auclair,TE,2.0,82.0,RES,13,4,3.25,361.0,711.0,1072.0,0.33675373,0.6632463,56.31063,67.0,0.4875381621947024,7.0,NFC South,outdoor,0.5535143769968052,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h4csagscmpa4crwcqota",4081127,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h4csagscmpa4crwcqota"
2020,00-0033421,A.Auclair,TE,TB,0,0.0,0,1,0,0.0,0,0.0,0,0,0,0.0,1,,,,0,Antony Auclair,TE,3.0,82.0,INA,13,4,3.25,451.0,796.0,1247.0,0.361668,0.638332,84.79518,62.35,0.5199948400412796,13.0,NFC South,outdoor,0.603442513368984,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ej3hvbiyzbkavtcsp9z9",4081127,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ej3hvbiyzbkavtcsp9z9"
2021,00-0033421,A.Auclair,TE,HOU,0,0.0,0,5,5,47.0,1,25.0,0,0,0,0.0,4,,,5.0,1,Antony Auclair,TE,4.0,83.0,ACT,13,4,3.25,393.0,613.0,1006.0,0.39065605,0.60934395,51.084877,59.1764705882353,0.4926962735558619,10.0,AFC South,indoor,0.6370896785109983,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/smknhk5btcy440w4qegq",4081127,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/smknhk5btcy440w4qegq"
2022,00-0035876,A.Baccellia,WR,ARI,0,0.0,0,10,7,45.0,0,11.0,0,0,0,0.0,5,,,1.5714285714285714,0,Andre Baccellia,WR,2.0,82.0,ACT,5,1,5.0,389.0,753.0,1142.0,0.34063047,0.6593695,60.92949,67.17647058823529,0.5184352172241445,13.0,NFC West,indoor,0.6358154586031611,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jmis7hocuh9j4ou3o4v5",3886809,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jmis7hocuh9j4ou3o4v5"
2021,00-0035602,A.Bachman,WR,NYG,1,-3.0,0,0,0,0.0,0,0.0,0,0,0,0.0,1,,-3.0,,0,Alex Bachman,WR,2.0,81.0,ACT,2,2,1.0,379.0,663.0,1042.0,0.3637236,0.63627636,64.325325,61.294117647058826,0.5276463939548988,10.0,NFC East,outdoor,0.5438604784890054,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yyrerqugf5oj1ctzmtoa",3919510,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yyrerqugf5oj1ctzmtoa"
2024,00-0035602,A.Bachman,WR,LV,0,0.0,0,3,3,31.0,0,10.0,0,0,0,0.0,1,,,3.333333333333333,0,Alex Bachman,WR,5.0,81.0,DEV,2,2,1.0,351.0,703.0,1054.0,0.33301708,0.66698295,51.68756,62.0,0.5222465043809061,10.0,AFC West,indoor,0.6363027515532962,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cwpp03jqrvyacbjbzkxb",3919510,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cwpp03jqrvyacbjbzkxb"
2024,00-0039793,A.Barner,TE,SEA,0,0.0,0,38,30,245.0,4,164.0,0,0,0,0.0,14,,,5.466666666666667,4,AJ Barner,TE,0.0,88.0,ACT,14,1,14.0,345.0,673.0,1018.0,0.3388998,0.6611002,43.293674,59.88235294117647,0.4867004593375017,10.0,NFC West,outdoor,0.5306475531389026,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/msnzbeyjoemcas9dm8vt",4576297,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/msnzbeyjoemcas9dm8vt"
2018,00-0031075,A.Blue,RB,HOU,152,507.0,2,29,22,165.0,0,117.0,0,0,0,0.0,17,,3.335526315789474,5.318181818181818,2,Alfred Blue,RB,4.0,28.0,ACT,17,1,17.0,415.0,678.0,1093.0,0.37968892,0.6203111,28.896332,64.29411764705883,0.4771671826625386,10.0,AFC South,indoor,0.6750902527075813,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qt9zmmipmlcin4gxs8wt",16921,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qt9zmmipmlcin4gxs8wt"
2018,00-0027793,A.Brown,WR,PIT,0,0.0,0,168,104,1297.0,15,485.0,0,0,1,0.0,15,0.0,,4.663461538461538,15,Antonio Brown,WR,8.0,84.0,ACT,34,4,8.5,317.0,729.0,1046.0,0.30305928,0.6969407,86.87116,65.375,0.4928459322325421,7.0,AFC North,outdoor,0.5848148148148148,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cyerysyv0ar5zndo5wik",13934,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cyerysyv0ar5zndo5wik"
2019,00-0027793,A.Brown,WR,NE,1,5.0,0,8,4,56.0,1,7.0,0,0,0,0.0,1,,5.0,1.75,1,Antonio Brown,WR,9.0,17.0,CUT,34,4,8.5,451.0,690.0,1141.0,0.3952673,0.6047327,79.818306,67.11764705882354,0.4674378781440337,10.0,AFC East,outdoor,0.5523076923076924,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cyerysyv0ar5zndo5wik",13934,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cyerysyv0ar5zndo5wik"
