season,player_id,player_name,position,team_2025,rush_attempts,rushing_yards,rushing_tds,receive_attempts,receptions,receiving_yards,receiving_tds,receiving_yards_after_catch,passing_tds,completions,attempts,passing_yards,games_played,completion_rate,avg_yds_per_carry,avg_yds_after_catch,TD,player_name_roster,pos_roster,exp,jersey_number,status,games_played_total_career,seasons_in_data,avg_games_played_per_szn,run_plays,pass_plays,total_plays,odd_run,odd_throw,strength_o_line,avg_team_time_on_offense,strength_of_schedule_calc,BYE,division,stadium_type,strength_of_qb,headshot_url,espn_id,image_url
2019,00-0032062,B.Bell,TE,KC,0,0.0,0,18,11,91.0,1,21.0,0,0,0,0.0,13,,,1.9090909090909087,1,Blake Bell,TE,4.0,81.0,ACT,52,6,8.666666666666666,390.0,759.0,1149.0,0.3394256,0.66057444,78.362206,60.47368421052632,0.5243626998352434,12.0,AFC West,outdoor,0.6521959584040121,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lg6mel0dpf7dlggvy9to",2514206,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lg6mel0dpf7dlggvy9to"
2020,00-0032062,B.Bell,TE,DAL,1,2.0,0,15,11,110.0,0,48.0,0,0,0,0.0,11,,2.0,4.363636363636363,0,Blake Bell,TE,5.0,80.0,ACT,52,6,8.666666666666666,403.0,708.0,1111.0,0.36273628,0.6372637,59.955154,69.4375,0.4526399101307189,10.0,NFC East,indoor,0.6040860321766075,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nhdlj143zfbeavd9fhbq",2514206,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nhdlj143zfbeavd9fhbq"
2021,00-0032062,B.Bell,TE,KC,4,10.0,0,14,10,90.0,0,71.0,0,0,0,0.0,12,,2.5,7.1,0,Blake Bell,TE,6.0,81.0,ACT,52,6,8.666666666666666,424.0,897.0,1321.0,0.32096896,0.679031,79.15987,66.05,0.5319254017396432,12.0,AFC West,outdoor,0.6802884615384616,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ntxr4nalgvk0hszuoggg",2514206,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ntxr4nalgvk0hszuoggg"
2022,00-0032062,B.Bell,TE,KC,0,0.0,0,4,3,24.0,1,8.0,0,0,0,0.0,3,,,2.6666666666666665,1,Blake Bell,TE,7.0,81.0,INA,52,6,8.666666666666666,423.0,844.0,1267.0,0.3338595,0.6661405,85.546425,63.35,0.4778353973168214,8.0,AFC West,outdoor,0.6166815210932859,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jpheufv4hf21qv9v01ft",2514206,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jpheufv4hf21qv9v01ft"
2023,00-0032062,B.Bell,TE,KC,0,0.0,0,9,5,26.0,1,19.0,0,0,0,0.0,6,,,3.8,1,Blake Bell,TE,8.0,81.0,ACT,52,6,8.666666666666666,440.0,882.0,1322.0,0.33282906,0.66717094,82.73301,62.95238095238095,0.5123642439431914,10.0,AFC West,outdoor,0.5956147070088089,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqrmmjto8koqqc9j2kjj",2514206,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqrmmjto8koqqc9j2kjj"
2019,00-0034419,B.Berrios,WR,NYJ,0,0.0,0,13,6,115.0,0,87.0,0,0,0,0.0,6,,,14.5,0,Braxton Berrios,WR,1.0,10.0,ACT,66,6,11.0,361.0,584.0,945.0,0.38201058,0.6179894,35.185875,59.0625,0.4572610294117647,4.0,AFC East,outdoor,0.5876277451619917,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gfix1pwypozkvy5l5gs0",3123075,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gfix1pwypozkvy5l5gs0"
2020,00-0034419,B.Berrios,WR,NYJ,3,29.0,0,55,37,394.0,3,216.0,0,0,0,0.0,13,,9.666666666666666,5.837837837837838,3,Braxton Berrios,WR,2.0,10.0,ACT,66,6,11.0,368.0,572.0,940.0,0.39148936,0.6085106,47.95657,58.75,0.5813607241142071,10.0,AFC East,outdoor,0.5741963260619978,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iduydmfnwwumvdkafogu",3123075,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iduydmfnwwumvdkafogu"
2021,00-0034419,B.Berrios,WR,NYJ,7,40.0,2,65,46,431.0,2,264.0,0,0,0,0.0,15,,5.714285714285714,5.739130434782608,4,Braxton Berrios,WR,3.0,10.0,RES,66,6,11.0,356.0,680.0,1036.0,0.34362933,0.65637064,45.408787,60.94117647058823,0.5025814247267535,6.0,AFC East,outdoor,0.6275260060508102,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vlx5vkd8ghcq1snnhdij",3123075,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vlx5vkd8ghcq1snnhdij"
2022,00-0034419,B.Berrios,WR,NYJ,9,91.0,2,32,18,145.0,0,92.0,1,1,1,2.0,15,1.0,10.11111111111111,5.111111111111111,3,Braxton Berrios,WR,4.0,10.0,ACT,66,6,11.0,375.0,688.0,1063.0,0.35277516,0.64722484,60.9686,62.52941176470589,0.5264372002671037,10.0,AFC East,outdoor,0.5941522177647832,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yddlnrzrcowbnf2e4wpo",3123075,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yddlnrzrcowbnf2e4wpo"
2023,00-0034419,B.Berrios,WR,MIA,1,11.0,0,34,27,238.0,1,85.0,0,0,0,0.0,14,,11.0,3.1481481481481484,1,Braxton Berrios,WR,5.0,0.0,ACT,66,6,11.0,438.0,657.0,1095.0,0.4,0.6,70.93205,60.833333333333336,0.4608102500259363,10.0,AFC East,outdoor,0.7572342793544797,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nypqf5vnhegeorkpmplr",3123075,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nypqf5vnhegeorkpmplr"
2024,00-0034419,B.Berrios,WR,MIA,0,0.0,0,4,0,0.0,0,0.0,0,0,0,0.0,3,,,,0,Braxton Berrios,WR,6.0,0.0,RES,66,6,11.0,416.0,660.0,1076.0,0.3866171,0.6133829,57.18794,63.294117647058826,0.4137477488415387,6.0,AFC East,outdoor,0.6473066407276933,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvzkjvb0ieeszxribqc9",3123075,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yvzkjvb0ieeszxribqc9"
2018,00-0029239,B.Bolden,RB,MIA,8,91.0,2,3,3,13.0,1,19.0,0,0,0,0.0,5,,11.375,6.333333333333333,3,Brandon Bolden,RB,6.0,38.0,ACT,42,5,8.4,349.0,517.0,866.0,0.40300232,0.5969977,24.558413,54.125,0.4648585311317509,11.0,AFC East,outdoor,0.6385836135487575,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qshanasklt8t1bnxe7kn",15478,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qshanasklt8t1bnxe7kn"
2019,00-0029239,B.Bolden,RB,NE,15,68.0,3,11,9,111.0,1,59.0,0,0,0,0.0,9,,4.533333333333333,6.555555555555555,4,Brandon Bolden,RB,7.0,38.0,ACT,42,5,8.4,451.0,690.0,1141.0,0.3952673,0.6047327,79.818306,67.11764705882354,0.4674378781440337,10.0,AFC East,outdoor,0.5523076923076924,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qshanasklt8t1bnxe7kn",15478,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qshanasklt8t1bnxe7kn"
2021,00-0029239,B.Bolden,RB,NE,44,226.0,1,55,45,432.0,2,431.0,0,0,0,0.0,17,,5.136363636363637,9.577777777777778,3,Brandon Bolden,RB,9.0,25.0,ACT,42,5,8.4,476.0,621.0,1097.0,0.43391067,0.56608933,71.21648,60.94444444444444,0.4817108129801628,14.0,AFC East,outdoor,0.7454057570336641,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mptlgcl3v8ttrhbm1dqh",15478,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mptlgcl3v8ttrhbm1dqh"
2022,00-0029239,B.Bolden,RB,LV,17,66.0,0,9,9,57.0,1,27.0,0,0,0,0.0,8,,3.882352941176471,3.0,1,Brandon Bolden,RB,10.0,34.0,ACT,42,5,8.4,399.0,649.0,1048.0,0.3807252,0.6192748,67.52364,61.64705882352941,0.4670804751209049,6.0,AFC West,indoor,0.6230619689915038,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pfjkzc83utqnmzjqe1wy",15478,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pfjkzc83utqnmzjqe1wy"
2023,00-0029239,B.Bolden,RB,LV,4,31.0,1,0,0,0.0,0,0.0,0,0,0,0.0,3,,7.75,,1,Brandon Bolden,RB,11.0,34.0,ACT,42,5,8.4,391.0,606.0,997.0,0.39217654,0.6078235,56.400406,58.64705882352941,0.4903226925445101,13.0,AFC West,indoor,0.6064992917426199,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kqqwz35z9brhkzbs4bcn",15478,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kqqwz35z9brhkzbs4bcn"
2018,00-0031407,B.Bortles,QB,JAX,58,365.0,1,0,0,0.0,0,0.0,13,243,403,2718.0,13,0.6029776674937966,6.293103448275862,,14,Blake Bortles,QB,4.0,5.0,ACT,15,2,7.5,356.0,645.0,1001.0,0.35564435,0.64435565,41.513588,62.5625,0.5401294289645683,9.0,AFC South,outdoor,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qycdzdjsokwmamzwsmeq",16724,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qycdzdjsokwmamzwsmeq"
2019,00-0031407,B.Bortles,QB,LA,2,-9.0,0,0,0,0.0,0,0.0,0,1,2,3.0,2,0.5,-4.5,,0,Blake Bortles,QB,5.0,5.0,ACT,15,2,7.5,380.0,666.0,1046.0,0.36328873,0.6367113,86.72298,65.375,0.519563499742002,9.0,NFC West,outdoor,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qycdzdjsokwmamzwsmeq",16724,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qycdzdjsokwmamzwsmeq"
2024,00-0039338,B.Bowers,TE,LV,5,13.0,0,153,112,1194.0,5,596.0,0,0,0,0.0,17,,2.6,5.321428571428571,5,Brock Bowers,TE,0.0,89.0,ACT,17,1,17.0,351.0,703.0,1054.0,0.33301708,0.66698295,51.68756,62.0,0.5222465043809061,10.0,AFC West,indoor,0.6363027515532962,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjy86xh8munoiur4hejf",4432665,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mjy86xh8munoiur4hejf"
2018,00-0032661,B.Braunecker,TE,CHI,0,0.0,0,7,5,57.0,0,14.0,0,0,0,0.0,6,,,2.8,0,Ben Braunecker,TE,2.0,84.0,ACT,10,2,5.0,429.0,634.0,1063.0,0.4035748,0.59642524,66.348526,62.52941176470589,0.4291239199498169,5.0,NFC North,outdoor,0.6788728897715988,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rjixl9e7vu8gze8324ne",2969241,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rjixl9e7vu8gze8324ne"
2019,00-0032661,B.Braunecker,TE,CHI,0,0.0,0,11,6,59.0,1,25.0,0,0,0,0.0,4,,,4.166666666666667,1,Ben Braunecker,TE,3.0,82.0,RES,10,2,5.0,365.0,647.0,1012.0,0.36067194,0.63932806,53.135334,63.25,0.4952418193154455,6.0,NFC North,outdoor,0.6674539728682171,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rjixl9e7vu8gze8324ne",2969241,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rjixl9e7vu8gze8324ne"
2024,00-0039603,B.Brooks,RB,HOU,1,2.0,0,0,0,0.0,0,0.0,0,0,0,0.0,1,,2.0,,0,British Brooks,RB,0.0,44.0,RES,1,1,1.0,436.0,742.0,1178.0,0.37011886,0.62988114,36.51212,62.0,0.4967437944706969,14.0,AFC South,indoor,0.5956529885703579,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qyywm0giwehv0iwy2f7n",4373273,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qyywm0giwehv0iwy2f7n"
2018,00-0030516,B.Butler,WR,DAL,0,0.0,0,1,0,0.0,0,0.0,0,0,0,0.0,5,,,,0,,,,,,10,1,10.0,449.0,680.0,1129.0,0.3976971,0.6023029,38.6368,62.72222222222222,0.5028057275541795,8.0,NFC East,indoor,0.6734348561759729,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xnr2lcdlhui4vyu6z4ir",15896,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xnr2lcdlhui4vyu6z4ir"
2018,00-0030516,B.Butler,WR,MIA,0,0.0,0,9,6,60.0,1,1.0,0,0,0,0.0,5,,,0.1666666666666666,1,Brice Butler,WR,5.0,14.0,ACT,10,1,10.0,349.0,517.0,866.0,0.40300232,0.5969977,24.558413,54.125,0.4648585311317509,11.0,AFC East,outdoor,0.6385836135487575,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xnr2lcdlhui4vyu6z4ir",15896,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xnr2lcdlhui4vyu6z4ir"
2018,00-0031236,B.Cooks,WR,LA,11,73.0,1,144,99,1496.0,5,420.0,0,0,0,0.0,18,,6.636363636363637,4.242424242424242,6,Brandin Cooks,WR,4.0,12.0,ACT,103,7,14.714285714285714,508.0,735.0,1243.0,0.40868866,0.59131134,69.57601,65.42105263157895,0.5018874585845419,12.0,NFC West,outdoor,0.6504247876061968,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eds7l8wtfctqodval2jl",16731,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eds7l8wtfctqodval2jl"
2019,00-0031236,B.Cooks,WR,LA,6,52.0,0,72,42,583.0,2,169.0,0,0,0,0.0,14,,8.666666666666666,4.023809523809524,2,Brandin Cooks,WR,5.0,12.0,ACT,103,7,14.714285714285714,380.0,666.0,1046.0,0.36328873,0.6367113,86.72298,65.375,0.519563499742002,9.0,NFC West,outdoor,0.5646964856230032,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eds7l8wtfctqodval2jl",16731,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eds7l8wtfctqodval2jl"
2020,00-0031236,B.Cooks,WR,HOU,0,0.0,0,119,81,1150.0,6,345.0,0,0,0,0.0,15,,,4.25925925925926,6,Brandin Cooks,WR,6.0,13.0,ACT,103,7,14.714285714285714,272.0,660.0,932.0,0.2918455,0.7081545,47.419857,58.25,0.5175263910388717,8.0,AFC South,indoor,0.8511029411764706,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rf0zx5emnigq8zoewpmn",16731,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rf0zx5emnigq8zoewpmn"
2021,00-0031236,B.Cooks,WR,HOU,2,21.0,0,134,90,1037.0,6,344.0,0,0,0,0.0,16,,10.5,3.8222222222222224,6,Brandin Cooks,WR,7.0,13.0,ACT,103,7,14.714285714285714,393.0,613.0,1006.0,0.39065605,0.60934395,51.084877,59.1764705882353,0.4926962735558619,10.0,AFC South,indoor,0.6370896785109983,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f3z5yinzicnr0phuhewt",16731,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f3z5yinzicnr0phuhewt"
2022,00-0031236,B.Cooks,WR,HOU,2,7.0,0,93,57,699.0,3,205.0,0,0,0,0.0,13,,3.5,3.5964912280701755,3,Brandin Cooks,WR,8.0,13.0,ACT,103,7,14.714285714285714,370.0,641.0,1011.0,0.36597428,0.6340257,62.593353,59.47058823529412,0.4687478500171998,6.0,AFC South,indoor,0.6331156433452884,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fsvyyiinddsyo87r9l3t",16731,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fsvyyiinddsyo87r9l3t"
2023,00-0031236,B.Cooks,WR,DAL,6,41.0,0,89,60,704.0,8,126.0,0,0,0,0.0,17,,6.833333333333333,2.1,8,Brandin Cooks,WR,9.0,3.0,ACT,103,7,14.714285714285714,441.0,754.0,1195.0,0.36903766,0.6309624,63.447044,66.38888888888889,0.4414879792072774,7.0,NFC East,indoor,0.7219230769230769,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wy6qidqm8jjp6buvu3lp",16731,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wy6qidqm8jjp6buvu3lp"
2024,00-0031236,B.Cooks,WR,DAL,3,-3.0,0,54,26,259.0,3,55.0,0,0,0,0.0,10,,-1.0,2.1153846153846154,3,Brandin Cooks,WR,10.0,3.0,ACT,103,7,14.714285714285714,408.0,687.0,1095.0,0.37260273,0.62739724,66.249146,64.41176470588235,0.5172044875741835,7.0,NFC East,indoor,0.6212507005189932,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjoksfxpbba4hevwpuop",16731,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjoksfxpbba4hevwpuop"
2024,00-0039738,B.Corum,RB,LA,58,207.0,0,8,7,58.0,0,65.0,0,0,0,0.0,14,,3.5689655172413794,9.285714285714286,0,Blake Corum,RB,0.0,22.0,RES,14,1,14.0,472.0,675.0,1147.0,0.4115083,0.58849174,65.3435,60.36842105263158,0.5321760283060593,6.0,NFC West,outdoor,0.6566492450638792,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ehpbxs9iiosm4xs7nhnl",4429096,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ehpbxs9iiosm4xs7nhnl"
2023,00-0037132,B.Covey,WR,PHI,0,0.0,0,6,4,42.0,0,26.0,0,0,0,0.0,2,,,6.5,0,Britain Covey,WR,1.0,18.0,ACT,5,2,2.5,466.0,692.0,1158.0,0.40241796,0.59758204,61.29359,64.33333333333333,0.4776942355889724,10.0,NFC East,outdoor,0.6550572881098717,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ea4ouli5scyh7oqvsds3",3926231,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ea4ouli5scyh7oqvsds3"
2024,00-0037132,B.Covey,WR,PHI,0,0.0,0,8,7,34.0,0,28.0,0,0,0,0.0,3,,,4.0,0,Britain Covey,WR,2.0,18.0,RES,5,2,2.5,691.0,650.0,1341.0,0.5152871,0.4847129,35.011185,63.85714285714285,0.4905671040345963,5.0,NFC East,outdoor,0.6468466305366902,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zxyoxfakwak4h9eiv5mu",3926231,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zxyoxfakwak4h9eiv5mu"
2018,00-0029795,B.Cunningham,RB,CHI,12,22.0,0,2,1,9.0,0,13.0,0,0,0,0.0,6,,1.8333333333333333,13.0,0,Benny Cunningham,RB,5.0,30.0,ACT,6,1,6.0,429.0,634.0,1063.0,0.4035748,0.59642524,66.348526,62.52941176470589,0.4291239199498169,5.0,NFC North,outdoor,0.6788728897715988,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yo9hvf3gnoxj7prmruo8",16055,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yo9hvf3gnoxj7prmruo8"
2024,00-0039316,B.Cupp,TE,KC,0,0.0,0,1,0,0.0,0,0.0,0,0,0,0.0,1,,,,0,Baylor Cupp,TE,0.0,47.0,DEV,1,1,1.0,438.0,790.0,1228.0,0.35667753,0.64332247,56.569695,61.4,0.5115963929431422,6.0,AFC West,outdoor,0.6523858592263792,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pcvvfurbbzefkwnojcid",,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pcvvfurbbzefkwnojcid"
2020,00-0036384,B.DiNucci,QB,DAL,6,22.0,0,0,0,0.0,0,0.0,0,23,43,219.0,2,0.5348837209302325,3.6666666666666665,,0,Ben DiNucci,QB,0.0,7.0,INA,2,1,2.0,403.0,708.0,1111.0,0.36273628,0.6372637,59.955154,69.4375,0.4526399101307189,10.0,NFC East,indoor,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sz8fxixdgfp0v2urdpgt",3895785,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sz8fxixdgfp0v2urdpgt"
2020,00-0035102,B.Dillon,TE,MIN,0,0.0,0,1,1,6.0,0,1.0,0,0,0,0.0,1,,,1.0,0,Brandon Dillon,TE,1.0,86.0,DEV,1,1,1.0,448.0,576.0,1024.0,0.4375,0.5625,54.833126,64.0,0.4902471405228758,7.0,NFC North,indoor,0.6763565891472868,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vp7upclz5rmp1bpada7m",4411192,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vp7upclz5rmp1bpada7m"
2020,00-0036365,B.Edwards,WR,LV,0,0.0,0,15,11,193.0,1,80.0,0,0,0,0.0,9,,,7.272727272727272,1,Bryan Edwards,WR,0.0,89.0,ACT,30,3,10.0,421.0,603.0,1024.0,0.4111328,0.5888672,74.42612,64.0,0.5318519951840385,6.0,AFC West,indoor,0.6267523256884959,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pj85swivbwtks6fkxixt",4038818,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pj85swivbwtks6fkxixt"
2021,00-0036365,B.Edwards,WR,LV,1,0.0,0,65,37,612.0,3,206.0,0,0,0,0.0,17,,0.0,5.567567567567568,3,Bryan Edwards,WR,1.0,89.0,ACT,30,3,10.0,399.0,743.0,1142.0,0.34938705,0.65061295,63.890923,63.44444444444444,0.5103952692187986,8.0,AFC West,indoor,0.5860294117647059,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aqic7l7pnw9x5ukh6iqr",4038818,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aqic7l7pnw9x5ukh6iqr"
2022,00-0036365,B.Edwards,WR,ATL,0,0.0,0,5,3,15.0,0,9.0,0,0,0,0.0,4,,,3.0,0,,,,,,30,3,10.0,512.0,488.0,1000.0,0.512,0.488,47.362667,58.8235294117647,0.4559734110362411,14.0,NFC South,indoor,0.6240579710144927,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hgluubcedtu0vmxjxrcf",4038818,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hgluubcedtu0vmxjxrcf"
2020,00-0035823,B.Ellefson,TE,JAX,0,0.0,0,4,1,10.0,0,3.0,0,0,0,0.0,3,,,3.0,0,Ben Ellefson,TE,0.0,86.0,RES,6,3,2.0,307.0,694.0,1001.0,0.30669332,0.6933067,58.80053,62.5625,0.5273948120915033,8.0,AFC South,outdoor,0.6087055786712391,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z0whuumvulhejgexpn7l",3930900,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/z0whuumvulhejgexpn7l"
2021,00-0035823,B.Ellefson,TE,MIN,0,0.0,0,1,0,0.0,0,0.0,0,0,0,0.0,1,,,,0,Ben Ellefson,TE,1.0,82.0,ACT,6,3,2.0,428.0,648.0,1076.0,0.3977695,0.6022305,74.55339,63.294117647058826,0.4963805129895095,7.0,NFC North,indoor,0.6469597940186175,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y0hbeopgzwlsxyahal8b",3930900,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y0hbeopgzwlsxyahal8b"
2022,00-0035823,B.Ellefson,TE,MIN,0,0.0,0,3,3,26.0,0,11.0,0,0,0,0.0,2,,,3.6666666666666665,0,Ben Ellefson,TE,2.0,82.0,RES,6,3,2.0,396.0,774.0,1170.0,0.33846155,0.6615385,61.266075,65.0,0.4668252876199212,7.0,NFC North,indoor,0.7535777126099706,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/obeiese68connhihpmln",3930900,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/obeiese68connhihpmln"
2018,00-0031326,B.Ellington,WR,DET,1,2.0,0,30,23,132.0,0,84.0,0,0,1,0.0,7,0.0,2.0,3.652173913043478,0,Bruce Ellington,WR,4.0,12.0,RES,14,1,14.0,382.0,632.0,1014.0,0.37672585,0.62327415,57.444054,63.375,0.4890579312865497,6.0,NFC North,indoor,0.5365129835718071,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqlup3kfumh2ifrixmfn",16946,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqlup3kfumh2ifrixmfn"
2018,00-0031326,B.Ellington,WR,HOU,0,0.0,0,12,8,92.0,1,24.0,0,0,0,0.0,7,,,3.0,1,,,,,,14,1,14.0,415.0,678.0,1093.0,0.37968892,0.6203111,28.896332,64.29411764705883,0.4771671826625386,10.0,AFC South,indoor,0.6750902527075813,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqlup3kfumh2ifrixmfn",16946,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qqlup3kfumh2ifrixmfn"
2024,00-0038477,B.Ford-Wheaton,WR,NYG,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0.0,1,,,,0,Bryce Ford-Wheaton,WR,1.0,88.0,ACT,1,1,1.0,382.0,669.0,1051.0,0.36346337,0.63653666,51.111824,61.8235294117647,0.5490849384129296,11.0,NFC East,outdoor,0.6072841901459796,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/avfgonlaxpgblcdmfedn",4362227,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/avfgonlaxpgblcdmfedn"
2018,00-0030670,B.Fowler,WR,NYG,0,0.0,0,27,16,199.0,1,76.0,0,0,0,0.0,10,,,4.75,1,Bennie Fowler,WR,4.0,18.0,ACT,19,3,6.333333333333333,347.0,638.0,985.0,0.35228425,0.64771575,49.3446,61.5625,0.5164164624183006,9.0,NFC East,outdoor,0.3298611111111111,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lwll8mvjupqhpihovyja",16995,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lwll8mvjupqhpihovyja"
2019,00-0030670,B.Fowler,WR,NYG,1,20.0,0,36,23,193.0,0,29.0,0,0,0,0.0,8,,20.0,1.2608695652173914,0,Bennie Fowler,WR,5.0,18.0,CUT,19,3,6.333333333333333,329.0,682.0,1011.0,0.32542038,0.6745796,59.12354,63.1875,0.4565206290849673,11.0,NFC East,outdoor,0.7459280008299616,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lwll8mvjupqhpihovyja",16995,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lwll8mvjupqhpihovyja"
2020,00-0030670,B.Fowler,WR,NO,0,0.0,0,6,2,11.0,0,1.0,0,0,0,0.0,1,,,0.5,0,Bennie Fowler,WR,6.0,16.0,RES,19,3,6.333333333333333,515.0,645.0,1160.0,0.44396552,0.5560345,74.35508,64.44444444444444,0.4756144173068837,6.0,NFC South,indoor,0.6810655147588193,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nfcmdcfhjf347rw1cstq",16995,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nfcmdcfhjf347rw1cstq"
2018,00-0027948,B.Gabbert,QB,TEN,6,0.0,0,0,0,0.0,0,0.0,4,61,101,626.0,8,0.6039603960396039,0.0,,4,Blaine Gabbert,QB,7.0,7.0,ACT,21,5,4.2,411.0,519.0,930.0,0.44193548,0.5580645,33.788116,58.125,0.5104878848469212,8.0,AFC South,outdoor,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/awuyhgwqxyg475snjkli",13987,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/awuyhgwqxyg475snjkli"
