season,team,run_plays,pass_plays,total_plays,odd_run,odd_throw,strength_o_line,avg_offensive_plays_per_game,strength_of_schedule
2019,NO,389.0,654.0,1043.0,0.3729626,0.6270374,77.761055,61.35294117647059,0.48940058479532167
2019,NYG,329.0,682.0,1011.0,0.32542038,0.6745796,59.12354,63.1875,0.4565206290849673
2019,NYJ,361.0,584.0,945.0,0.38201058,0.6179894,35.185875,59.0625,0.4572610294117647
2019,PHI,443.0,716.0,1159.0,0.38222605,0.61777395,60.594673,68.17647058823529,0.45684352172241444
2019,PIT,362.0,562.0,924.0,0.3917749,0.6082251,64.751114,57.75,0.48576980134158926
2019,SEA,458.0,687.0,1145.0,0.4,0.6,44.799603,63.611111111111114,0.5306886156021863
2019,SF,570.0,593.0,1163.0,0.49011177,0.50988823,55.06772,61.21052631578947,0.5264583672804302
2019,TB,361.0,711.0,1072.0,0.33675373,0.6632463,56.31063,67.0,0.4875381621947024
2019,TEN,493.0,601.0,1094.0,0.45063984,0.54936016,23.713654,57.578947368421055,0.529395922727355
2019,WAS,335.0,548.0,883.0,0.37938845,0.62061155,33.159893,55.1875,0.48633148434812523
2020,ARI,420.0,648.0,1068.0,0.39325842,0.60674155,75.97468,66.75,0.4623578323873409
2020,ATL,382.0,687.0,1069.0,0.35734332,0.6426567,62.227356,66.8125,0.5462998796009632
2020,BAL,551.0,562.0,1113.0,0.4950584,0.5049416,50.002163,61.833333333333336,0.49886767572526086
2020,BUF,396.0,791.0,1187.0,0.33361414,0.6663858,76.44005,62.473684210526315,0.5351510872123549
2020,CAR,358.0,624.0,982.0,0.36456212,0.6354379,64.057785,61.375,0.5279175266597868
2020,CHI,380.0,703.0,1083.0,0.3508772,0.64912283,68.71866,63.705882352941174,0.4944252210688197
2020,CIN,381.0,649.0,1030.0,0.3699029,0.6300971,49.075466,64.375,0.5099571078431373
2020,CLE,504.0,622.0,1126.0,0.44760212,0.55239785,77.21316,62.55555555555556,0.4686926671253297
2020,DAL,403.0,708.0,1111.0,0.36273628,0.6372637,59.955154,69.4375,0.45263991013071897
2020,DEN,405.0,616.0,1021.0,0.39666992,0.6033301,69.34818,63.8125,0.5577404755761954
2020,DET,343.0,639.0,982.0,0.34928718,0.65071285,56.65728,61.375,0.49530228758169936
2020,GB,448.0,661.0,1109.0,0.40396753,0.59603244,80.96528,61.611111111111114,0.4482570806100218
2020,HOU,272.0,660.0,932.0,0.2918455,0.7081545,47.419857,58.25,0.5175263910388717
2020,IND,467.0,621.0,1088.0,0.42922795,0.57077205,86.04723,64.0,0.44830429591857385
2020,JAX,307.0,694.0,1001.0,0.30669332,0.6933067,58.80053,62.5625,0.5273948120915033
2020,KC,400.0,831.0,1231.0,0.32493907,0.6750609,85.05137,64.78947368421052,0.5070791012619268
2020,LA,490.0,700.0,1190.0,0.4117647,0.5882353,75.08942,66.11111111111111,0.5141528589993503
2020,LAC,430.0,687.0,1117.0,0.38495973,0.6150403,71.611534,69.8125,0.47708790204678364
2020,LV,421.0,603.0,1024.0,0.4111328,0.5888672,74.42612,64.0,0.5318519951840385
2020,MIA,381.0,628.0,1009.0,0.3776016,0.62239844,67.24978,63.0625,0.4562841309769522
2020,MIN,448.0,576.0,1024.0,0.4375,0.5625,54.833126,64.0,0.4902471405228758
2020,NE,468.0,500.0,968.0,0.48347107,0.5165289,48.901985,60.5,0.5174820476436188
2020,NO,515.0,645.0,1160.0,0.44396552,0.5560345,74.35508,64.44444444444444,0.47561441730688375
2020,NYG,355.0,595.0,950.0,0.3736842,0.6263158,39.797707,59.375,0.48595792483660133
2020,NYJ,368.0,572.0,940.0,0.39148936,0.6085106,47.95657,58.75,0.5813607241142071
